plot	location	block	composition	species.richness	functional.richness	legumes	cotton3	wood3
B1P001	1	1	5	1	1	No	0.261234764	NA
B1P002	1	1	29	16	3	Yes	0.826731689	NA
B1P003	1	1	15	2	2	No	0.604546523	NA
B1P004	1	1	7	1	1	Yes	0.929294991	NA
B1P005	1	1	16	2	2	No	0.654707943	NA
B1P006	1	1	8	1	1	No	0.700354786	NA
B1P007	1	1	4	1	1	No	0.36569775	NA
B1P008	1	1	13	2	2	Yes	0.239776072	NA
B1P009	1	1	26	8	3	Yes	0.582284009	NA
B1P010	1	1	18	4	1	No	0.296223827	NA
B1P011	1	1	30	16	3	Yes	0.534478969	NA
B1P013	1	1	20	4	2	No	0.531926376	NA
B1P014	1	1	17	2	2	No	0.341515828	NA
B1P015	1	1	24	8	2	Yes	0.742378456	NA
B1P016	1	1	23	8	1	No	0.580982987	NA
B1P017	1	1	22	4	3	Yes	0.363552305	NA
B1P018	1	1	6	1	1	Yes	0.44664162	NA
B1P019	1	1	11	2	1	No	0.524210347	NA
B1P020	1	1	10	1	1	No	0.773879541	NA
B1P021	1	1	3	1	1	No	0.421953027	NA
B1P022	1	1	25	8	2	No	0.469614054	NA
B1P023	1	1	21	4	3	Yes	0.804640283	NA
B1P024	1	1	9	1	1	No	0.963632678	NA
B1P025	1	1	14	2	2	Yes	0.847556952	NA
B1P026	1	1	27	8	3	Yes	1.116465595	NA
B1P027	1	1	12	2	1	No	0.391818691	NA
B1P028	1	1	28	16	3	Yes	1.030579862	NA
B1P030	1	1	1	1	1	No	0.564917141	NA
B1P031	1	1	19	4	2	Yes	0.640145172	NA
B1P032	1	1	2	1	1	No	0.733314123	NA
B1P033	1	2	7	1	1	Yes	0.777842852	NA
B1P034	1	2	13	2	2	Yes	0.653736639	NA
B1P035	1	2	15	2	2	No	0.537118193	NA
B1P036	1	2	22	4	3	Yes	0.649517485	NA
B1P037	1	2	27	8	3	Yes	1.069446421	NA
B1P038	1	2	30	16	3	Yes	0.779288299	NA
B1P039	1	2	1	1	1	No	0.576849699	NA
B1P040	1	2	20	4	2	No	0.868897391	NA
B1P042	1	2	2	1	1	No	0.237151957	NA
B1P043	1	2	9	1	1	No	0.553132421	NA
B1P044	1	2	25	8	2	No	0.455832208	NA
B1P045	1	2	23	8	1	No	0.671656333	NA
B1P046	1	2	11	2	1	No	0.575282815	NA
B1P047	1	2	8	1	1	No	0.382761684	NA
B1P048	1	2	6	1	1	Yes	1.098388681	NA
B1P049	1	2	16	2	2	No	0.999429905	NA
B1P050	1	2	18	4	1	No	0.499087509	NA
B1P051	1	2	28	16	3	Yes	0.62083077	NA
B1P052	1	2	4	1	1	No	0.321139313	NA
B1P053	1	2	10	1	1	No	0.351972134	NA
B1P054	1	2	12	2	1	No	0.421873961	NA
B1P055	1	2	21	4	3	Yes	0.924626584	NA
B1P056	1	2	29	16	3	Yes	0.521459897	NA
B1P057	1	2	19	4	2	Yes	1.018861286	NA
B1P058	1	2	3	1	1	No	0.599322208	NA
B1P059	1	2	24	8	2	Yes	0.85946327	NA
B1P060	1	2	14	2	2	Yes	1.065415895	NA
B1P062	1	2	17	2	2	No	0.471471152	NA
B1P063	1	2	5	1	1	No	0.679081977	NA
B1P064	1	2	26	8	3	Yes	0.816078985	NA
C2P001	2	1	38	1	1	No	0.0173	0.017305
C2P002	2	1	5	1	1	No	0.0102	0.01016
C2P003	2	1	51	4	3	Yes	0.0202	0.020193
C2P004	2	1	45	2	2	No	0.0161	0.01609
C2P005	2	1	39	1	1	No	0.0117	0.011718
C2P006	2	1	52	8	3	Yes	0.01746611	0.017466
C2P007	2	1	9	1	1	No	0.0355	0.035454
C2P008	2	1	3	1	1	No	0.0386	0.038611
C2P009	2	1	49	4	3	Yes	0.0514	0.051397
C2P010	2	1	40	1	1	No	0.0245	0.024505
C2P012	2	1	37	1	1	No	0.0235	0.02354
C2P013	2	1	37	1	1	No	0.0165	0.016483
C2P014	2	1	36	1	1	Yes	0.028433742	0.028434
C2P015	2	1	33	1	1	No	0.015703953	0.015704
C2P016	2	1	33	1	1	No	0.0218	0.02182
C2P017	2	1	34	1	1	Yes	0.0213	0.021285
C2P018	2	1	3	1	1	No	0.031969221	0.031969
C2P019	2	1	32	1	1	No	0.019	0.019026
C2P020	2	1	49	4	3	Yes	0.0176	0.017644
C2P021	2	1	39	1	1	No	0.0205	0.020486
C2P024	2	1	45	2	2	No	0.018438486	0.018438
C2P025	2	1	34	1	1	Yes	0.0315	0.031495
C2P026	2	1	54	14	3	Yes	0.0276	0.027632
C2P027	2	1	50	4	3	Yes	0.0291	0.029135
C2P028	2	1	43	2	1	No	0.0226	0.022616
C2P029	2	1	48	4	3	Yes	0.0199	0.019917
C2P030	2	1	5	1	1	No	0.0223	0.022263
C2P032	2	1	35	1	1	Yes	0.0621	0.062073
C2P033	2	1	47	4	3	Yes	0.0471	0.047088
C2P034	2	1	31	1	1	No	0.00864	0.008642
C2P035	2	1	43	2	1	No	0.0181	0.01814
C2P036	2	1	51	4	3	Yes	0.0571	0.057073
C2P038	2	1	38	1	1	No	0.036376481	0.036376
C2P039	2	1	44	2	2	No	0.026257747	0.026258
C2P040	2	1	54	14	3	Yes	0.02275971	0.02276
C2P041	2	1	32	1	1	No	0.0164	0.018339
C2P042	2	1	44	2	2	No	0.0167	0.0167
C2P043	2	1	48	4	3	Yes	0.0168	0.016816
C2P044	2	1	35	1	1	Yes	0.0558	0.055831
C2P045	2	1	50	4	3	Yes	0.0343	0.034281
C2P046	2	1	31	1	1	No	0.022543856	0.022544
C2P047	2	1	9	1	1	No	0.028	0.027994
C2P048	2	1	42	2	1	No	0.0191	0.019085
C2P049	2	1	36	1	1	Yes	0.0335	0.033545
C2P050	2	1	42	2	1	No	0.0324	0.032394
C2P051	2	1	40	1	1	No	0.0197	0.019744
C2P052	2	1	46	2	2	Yes	0.025	0.025039
C2P053	2	1	47	4	3	Yes	0.0277	0.027703
C2P054	2	1	53	8	3	Yes	0.030783028	0.030783
C2P055	2	1	52	8	3	Yes	0.0204	0.020368
C2P056	2	1	41	1	1	No	0.0199	0.019929
C2P057	2	1	41	1	1	No	0.0459	0.0459
C2P058	2	1	46	2	2	Yes	0.032	0.03201
C2P064	2	1	54	14	3	Yes	0.0149	0.020955
C2P065	2	1	54	14	3	Yes	0.0276	0.027607
C2P067	2	1	53	8	3	Yes	0.0326	0.032589
L3P001	3	1	55	1	1	No	0.589524386	0.113578
L3P002	3	1	56	4	1	No	0.38193275	0.088413
L3P003	3	1	57	4	3	Yes	0.611346057	0.057995
L3P004	3	1	9	1	1	No	0.754901213	0.126771
