plot	location	block	composition	species.richness	functional.richness	legumes	root3
B1P001	1	1	5	1	1	No	296.6748475
B1P002	1	1	29	16	3	Yes	910.163726
B1P003	1	1	15	2	2	No	447.360516
B1P004	1	1	7	1	1	Yes	438.325744
B1P005	1	1	16	2	2	No	179.0636087
B1P006	1	1	8	1	1	No	649.9463725
B1P007	1	1	4	1	1	No	1137.625056
B1P008	1	1	13	2	2	Yes	707.2992643
B1P009	1	1	26	8	3	Yes	439.6789698
B1P010	1	1	18	4	1	No	780.09485
B1P011	1	1	30	16	3	Yes	263.759621
B1P013	1	1	20	4	2	No	226.5857133
B1P014	1	1	17	2	2	No	261.8889854
B1P015	1	1	24	8	2	Yes	60.85535845
B1P016	1	1	23	8	1	No	468.3753161
B1P017	1	1	22	4	3	Yes	172.8546905
B1P018	1	1	6	1	1	Yes	33.31323416
B1P019	1	1	11	2	1	No	488.8727063
B1P020	1	1	10	1	1	No	160.2975514
B1P021	1	1	3	1	1	No	527.0018321
B1P022	1	1	25	8	2	No	547.4594215
B1P023	1	1	21	4	3	Yes	333.6895522
B1P024	1	1	9	1	1	No	242.904024
B1P025	1	1	14	2	2	Yes	177.6705822
B1P026	1	1	27	8	3	Yes	226.8245179
B1P027	1	1	12	2	1	No	112.0789336
B1P028	1	1	28	16	3	Yes	165.0935427
B1P030	1	1	1	1	1	No	1133.565379
B1P031	1	1	19	4	2	Yes	436.3357062
B1P032	1	1	2	1	1	No	560.9120776
B1P033	1	2	7	1	1	Yes	269.8491369
B1P034	1	2	13	2	2	Yes	100.1387063
B1P035	1	2	15	2	2	No	464.9126501
B1P036	1	2	22	4	3	Yes	91.86014866
B1P037	1	2	27	8	3	Yes	143.7205359
B1P038	1	2	30	16	3	Yes	169.8298329
B1P039	1	2	1	1	1	No	360.5948643
B1P040	1	2	20	4	2	No	451.5793963
B1P042	1	2	2	1	1	No	257.8293081
B1P043	1	2	9	1	1	No	255.7596687
B1P044	1	2	25	8	2	No	610.0660133
B1P045	1	2	23	8	1	No	348.5750355
B1P046	1	2	11	2	1	No	362.4654999
B1P047	1	2	8	1	1	No	445.1714744
B1P048	1	2	6	1	1	Yes	22.48742807
B1P049	1	2	16	2	2	No	462.8430107
B1P050	1	2	18	4	1	No	397.7289712
B1P051	1	2	28	16	3	Yes	369.9082416
B1P052	1	2	4	1	1	No	1007.277575
B1P053	1	2	10	1	1	No	152.8747101
B1P054	1	2	12	2	1	No	455.7186751
B1P055	1	2	21	4	3	Yes	325.8090021
B1P056	1	2	29	16	3	Yes	300.0977127
B1P057	1	2	19	4	2	Yes	1062.640429
B1P058	1	2	3	1	1	No	334.9631764
B1P059	1	2	24	8	2	Yes	862.203813
